hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)","P4 (kW)","Q4 (kvar)"
0, 60.00000, 0.721439, 0.30731, 0.713924, 0.304134, 0.721405, 0.307307, 0, 0
0, 120.00000, 0.721435, 0.30731, 0.713781, 0.304073, 0.721405, 0.307308, 0, 0
0, 180.00000, 0.721432, 0.307311, 0.713652, 0.304017, 0.721405, 0.307309, 0, 0
0, 240.00000, 0.721429, 0.307311, 0.713535, 0.303967, 0.721405, 0.30731, 0, 0
0, 300.00000, 0.721426, 0.307312, 0.713429, 0.303922, 0.721404, 0.307311, 0, 0
0, 360.00000, 0.721424, 0.307312, 0.713334, 0.303881, 0.721404, 0.307311, 0, 0
0, 420.00000, 0.721422, 0.307312, 0.713247, 0.303844, 0.721404, 0.307312, 0, 0
0, 480.00000, 0.72142, 0.307313, 0.713169, 0.30381, 0.721404, 0.307312, 0, 0
0, 540.00000, 0.721418, 0.307313, 0.713099, 0.30378, 0.721404, 0.307313, 0, 0
0, 600.00000, 0.721417, 0.307313, 0.713035, 0.303753, 0.721404, 0.307313, 0, 0
0, 660.00000, 0.721416, 0.307314, 0.712977, 0.303728, 0.721404, 0.307313, 0, 0
0, 720.00000, 0.721414, 0.307314, 0.712925, 0.303706, 0.721404, 0.307314, 0, 0
0, 780.00000, 0.721413, 0.307314, 0.712879, 0.303686, 0.721404, 0.307314, 0, 0
0, 840.00000, 0.721412, 0.307314, 0.712837, 0.303668, 0.721404, 0.307314, 0, 0
0, 900.00000, 0.721411, 0.307314, 0.712799, 0.303652, 0.721404, 0.307314, 0, 0
0, 960.00000, 0.763158, 0.325099, 0.752155, 0.320417, 0.763152, 0.325099, 0, 0
0, 1020.00000, 0.763158, 0.325099, 0.752123, 0.320403, 0.763152, 0.3251, 0, 0
0, 1080.00000, 0.763157, 0.325099, 0.752094, 0.320391, 0.763152, 0.3251, 0, 0
0, 1140.00000, 0.763157, 0.325099, 0.752068, 0.32038, 0.763152, 0.3251, 0, 0
0, 1200.00000, 0.763156, 0.3251, 0.752044, 0.32037, 0.763152, 0.3251, 0, 0
0, 1260.00000, 0.763156, 0.3251, 0.752023, 0.320361, 0.763152, 0.3251, 0, 0
0, 1320.00000, 0.763155, 0.3251, 0.752003, 0.320352, 0.763152, 0.3251, 0, 0
0, 1380.00000, 0.763155, 0.3251, 0.751986, 0.320345, 0.763152, 0.3251, 0, 0
0, 1440.00000, 0.763155, 0.3251, 0.751971, 0.320338, 0.763152, 0.3251, 0, 0
0, 1500.00000, 0.763154, 0.3251, 0.751957, 0.320332, 0.763152, 0.3251, 0, 0
0, 1560.00000, 0.763154, 0.3251, 0.751944, 0.320327, 0.763152, 0.325101, 0, 0
0, 1620.00000, 0.763154, 0.3251, 0.751933, 0.320322, 0.763152, 0.325101, 0, 0
0, 1680.00000, 0.763154, 0.325101, 0.751922, 0.320318, 0.763152, 0.325101, 0, 0
0, 1740.00000, 0.763153, 0.325101, 0.751913, 0.320314, 0.763152, 0.325101, 0, 0
0, 1800.00000, 0.763153, 0.325101, 0.751905, 0.32031, 0.763152, 0.325101, 0, 0
0, 1860.00000, 0.765471, 0.326088, 0.7561, 0.322097, 0.765469, 0.326088, 0, 0
0, 1920.00000, 0.765471, 0.326088, 0.756093, 0.322094, 0.765469, 0.326088, 0, 0
0, 1980.00000, 0.76547, 0.326088, 0.756086, 0.322092, 0.765469, 0.326088, 0, 0
0, 2040.00000, 0.76547, 0.326088, 0.756081, 0.322089, 0.765469, 0.326088, 0, 0
0, 2100.00000, 0.76547, 0.326088, 0.756076, 0.322087, 0.765469, 0.326088, 0, 0
0, 2160.00000, 0.76547, 0.326088, 0.756072, 0.322085, 0.765469, 0.326088, 0, 0
0, 2220.00000, 0.76547, 0.326088, 0.756068, 0.322084, 0.765469, 0.326088, 0, 0
0, 2280.00000, 0.76547, 0.326088, 0.756064, 0.322082, 0.765469, 0.326088, 0, 0
0, 2340.00000, 0.76547, 0.326088, 0.756061, 0.322081, 0.765469, 0.326088, 0, 0
0, 2400.00000, 0.76547, 0.326088, 0.756058, 0.322079, 0.765469, 0.326088, 0, 0
0, 2460.00000, 0.76547, 0.326088, 0.756055, 0.322078, 0.765469, 0.326088, 0, 0
0, 2520.00000, 0.76547, 0.326088, 0.756053, 0.322077, 0.765469, 0.326088, 0, 0
0, 2580.00000, 0.76547, 0.326088, 0.756051, 0.322076, 0.765469, 0.326088, 0, 0
0, 2640.00000, 0.76547, 0.326088, 0.756049, 0.322075, 0.765469, 0.326088, 0, 0
0, 2700.00000, 0.76547, 0.326088, 0.756047, 0.322075, 0.765469, 0.326088, 0, 0
0, 2760.00000, 0.728072, 0.310157, 0.72227, 0.307686, 0.728071, 0.310157, 0, 0
0, 2820.00000, 0.728071, 0.310157, 0.722268, 0.307685, 0.728071, 0.310157, 0, 0
0, 2880.00000, 0.728071, 0.310157, 0.722267, 0.307684, 0.728071, 0.310157, 0, 0
0, 2940.00000, 0.728071, 0.310157, 0.722266, 0.307684, 0.728071, 0.310157, 0, 0
0, 3000.00000, 0.728071, 0.310157, 0.722265, 0.307684, 0.728071, 0.310157, 0, 0
0, 3060.00000, 0.728071, 0.310157, 0.722264, 0.307683, 0.728071, 0.310157, 0, 0
0, 3120.00000, 0.728071, 0.310157, 0.722263, 0.307683, 0.728071, 0.310157, 0, 0
0, 3180.00000, 0.728071, 0.310157, 0.722263, 0.307683, 0.728071, 0.310157, 0, 0
0, 3240.00000, 0.728071, 0.310157, 0.722262, 0.307682, 0.728071, 0.310157, 0, 0
0, 3300.00000, 0.728071, 0.310157, 0.722261, 0.307682, 0.728071, 0.310157, 0, 0
0, 3360.00000, 0.728071, 0.310157, 0.722261, 0.307682, 0.728071, 0.310157, 0, 0
0, 3420.00000, 0.728071, 0.310157, 0.72226, 0.307682, 0.728071, 0.310157, 0, 0
0, 3480.00000, 0.728071, 0.310157, 0.72226, 0.307682, 0.728071, 0.310157, 0, 0
0, 3540.00000, 0.728072, 0.310157, 0.722105, 0.307615, 0.728071, 0.310157, 0, 0
1, 0.00000, 0.728071, 0.310157, 0.722104, 0.307615, 0.728071, 0.310157, 0, 0
1, 60.00000, 0.71956, 0.306531, 0.71598, 0.305006, 0.71956, 0.306531, 0, 0
1, 120.00000, 0.71956, 0.306531, 0.715979, 0.305006, 0.71956, 0.306531, 0, 0
1, 180.00000, 0.71956, 0.306531, 0.715979, 0.305006, 0.71956, 0.306531, 0, 0
1, 240.00000, 0.71956, 0.306531, 0.715979, 0.305006, 0.71956, 0.306531, 0, 0
1, 300.00000, 0.71956, 0.306531, 0.715979, 0.305006, 0.71956, 0.306531, 0, 0
1, 360.00000, 0.71956, 0.306531, 0.715978, 0.305006, 0.71956, 0.306531, 0, 0
1, 420.00000, 0.71956, 0.306531, 0.715978, 0.305005, 0.71956, 0.306531, 0, 0
1, 480.00000, 0.71956, 0.306531, 0.715978, 0.305005, 0.71956, 0.306531, 0, 0
1, 540.00000, 0.71956, 0.306531, 0.715978, 0.305005, 0.71956, 0.306531, 0, 0
1, 600.00000, 0.71956, 0.306531, 0.715978, 0.305005, 0.71956, 0.306531, 0, 0
1, 660.00000, 0.71956, 0.306531, 0.715978, 0.305005, 0.71956, 0.306531, 0, 0
1, 720.00000, 0.71956, 0.306531, 0.715978, 0.305005, 0.71956, 0.306531, 0, 0
1, 780.00000, 0.71956, 0.306531, 0.715978, 0.305005, 0.71956, 0.306531, 0, 0
1, 840.00000, 0.71956, 0.306531, 0.715977, 0.305005, 0.71956, 0.306531, 0, 0
1, 900.00000, 0.71956, 0.306531, 0.715977, 0.305005, 0.71956, 0.306531, 0, 0
1, 960.00000, 0.716192, 0.305097, 0.713063, 0.303763, 0.716192, 0.305096, 0, 0
1, 1020.00000, 0.716192, 0.305096, 0.713062, 0.303763, 0.716192, 0.305096, 0, 0
1, 1080.00000, 0.716192, 0.305096, 0.713062, 0.303763, 0.716192, 0.305096, 0, 0
1, 1140.00000, 0.716192, 0.305096, 0.713062, 0.303763, 0.716192, 0.305096, 0, 0
1, 1200.00000, 0.716192, 0.305096, 0.713062, 0.303763, 0.716192, 0.305096, 0, 0
1, 1260.00000, 0.716192, 0.305096, 0.713062, 0.303763, 0.716192, 0.305096, 0, 0
1, 1320.00000, 0.716192, 0.305096, 0.713062, 0.303763, 0.716192, 0.305096, 0, 0
1, 1380.00000, 0.716192, 0.305096, 0.713062, 0.303763, 0.716192, 0.305096, 0, 0
1, 1440.00000, 0.716192, 0.305096, 0.713062, 0.303763, 0.716192, 0.305096, 0, 0
